sample	subpop	trial	odor	peak_value
230914_ORL_GCaMP6f_F2	ORL	2	octanal3.09	0.0013979889
230915_ORL_GCaMP6f_F1	ORL	1	octanal3.09	0.00047330128
230915_ORL_GCaMP6f_F1	ORL	2	octanal3.09	0.00028126145
230913_U52_GCaMP6f_F2	U52	1	octanal3.09	0.0007507327
230913_U52_GCaMP6f_F2	U52	2	octanal3.09	0.00053499034
230913_U52_GCaMP6f_F3	U52	1	octanal3.09	0.0012180478
230913_U52_GCaMP6f_F3	U52	2	octanal3.09	0.0017967278
230914_U52_GCaMP6f_F1	U52	1	octanal3.09	0.001758673
230914_U52_GCaMP6f_F1	U52	2	octanal3.09	0.0009962491
230914_U52_GCaMP6f_F2	U52	1	octanal3.09	0.0014015657
230914_U52_GCaMP6f_F2	U52	2	octanal3.09	0.001059587
230915_U52_GCaMP6f_F2	U52	1	octanal3.09	0.0019968534
230915_U52_GCaMP6f_F2	U52	2	octanal3.09	0.0014926082
230913_FCV_GCaMP6f_F1	FCV	1	octanal3.09	0.00034206812
230913_FCV_GCaMP6f_F1	FCV	2	octanal3.09	0.00029334147
230914_FCV_GCaMP6f_F1	FCV	1	octanal3.09	0.0021215677
230914_FCV_GCaMP6f_F1	FCV	2	octanal3.09	0.0013756066
230914_FCV_GCaMP6f_F2	FCV	1	octanal3.09	0.0020725515
230914_FCV_GCaMP6f_F2	FCV	2	octanal3.09	0.0012296481
230914_FCV_GCaMP6f_F3	FCV	1	octanal3.09	0.0021888155
230914_FCV_GCaMP6f_F3	FCV	2	octanal3.09	0.0013548348
230915_FCV_GCaMP6f_F1	FCV	1	octanal3.09	0.000942192
230915_FCV_GCaMP6f_F1	FCV	2	octanal3.09	0.00065877807
230913_ORL_GCaMP6f_F1	ORL	1	octanal1.595	0.0011376517
230913_ORL_GCaMP6f_F1	ORL	2	octanal1.595	0.00085550535
230913_ORL_GCaMP6f_F2	ORL	1	octanal1.595	0.00064597564
230913_ORL_GCaMP6f_F2	ORL	2	octanal1.595	0.0006661403
230914_ORL_GCaMP6f_F1	ORL	1	octanal1.595	0.0013565961
230914_ORL_GCaMP6f_F1	ORL	2	octanal1.595	0.00041762265
230914_ORL_GCaMP6f_F2	ORL	1	octanal1.595	0.0021374174
230914_ORL_GCaMP6f_F2	ORL	2	octanal1.595	0.0024023494
230915_ORL_GCaMP6f_F1	ORL	1	octanal1.595	0.0005351237
230915_ORL_GCaMP6f_F1	ORL	2	octanal1.595	0.00065144297
230913_U52_GCaMP6f_F2	U52	1	octanal1.595	0.0016544996
230913_U52_GCaMP6f_F2	U52	2	octanal1.595	0.00030961502
230913_U52_GCaMP6f_F3	U52	1	octanal1.595	0.0015971707
230913_U52_GCaMP6f_F3	U52	2	octanal1.595	0.00122204
230914_U52_GCaMP6f_F1	U52	1	octanal1.595	0.001384025
230914_U52_GCaMP6f_F1	U52	2	octanal1.595	0.0002790333
230914_U52_GCaMP6f_F2	U52	1	octanal1.595	0.0014033793
230914_U52_GCaMP6f_F2	U52	2	octanal1.595	0.00054685096
230915_U52_GCaMP6f_F2	U52	1	octanal1.595	0.0025668433
230915_U52_GCaMP6f_F2	U52	2	octanal1.595	0.0009536414
230913_FCV_GCaMP6f_F1	FCV	1	octanal1.595	0.00034850917
230913_FCV_GCaMP6f_F1	FCV	2	octanal1.595	0.00017074279
230914_FCV_GCaMP6f_F1	FCV	1	octanal1.595	0.0009579761
230914_FCV_GCaMP6f_F1	FCV	2	octanal1.595	0.00048674917
230914_FCV_GCaMP6f_F2	FCV	1	octanal1.595	0.001521425
230914_FCV_GCaMP6f_F2	FCV	2	octanal1.595	0.0009714537
230914_FCV_GCaMP6f_F3	FCV	1	octanal1.595	0.0014020031
230914_FCV_GCaMP6f_F3	FCV	2	octanal1.595	0.0013743031
230915_FCV_GCaMP6f_F1	FCV	1	octanal1.595	0.0011765645
230915_FCV_GCaMP6f_F1	FCV	2	octanal1.595	0.000995933
230913_ORL_GCaMP6f_F1	ORL	1	nonanal4.56	0.002713083
230913_ORL_GCaMP6f_F1	ORL	2	nonanal4.56	0.002094089
230913_ORL_GCaMP6f_F2	ORL	1	nonanal4.56	0.009491077
230913_ORL_GCaMP6f_F2	ORL	2	nonanal4.56	0.007261952
230914_ORL_GCaMP6f_F1	ORL	1	nonanal4.56	0.013227663
230914_ORL_GCaMP6f_F1	ORL	2	nonanal4.56	0.014694809
230914_ORL_GCaMP6f_F2	ORL	1	nonanal4.56	0.018256955
230914_ORL_GCaMP6f_F2	ORL	2	nonanal4.56	0.011945737
230915_ORL_GCaMP6f_F1	ORL	1	nonanal4.56	0.010265672
230915_ORL_GCaMP6f_F1	ORL	2	nonanal4.56	0.006816966
230913_U52_GCaMP6f_F2	U52	1	nonanal4.56	0.0066778944
230913_U52_GCaMP6f_F2	U52	2	nonanal4.56	0.0027360523
230913_U52_GCaMP6f_F3	U52	1	nonanal4.56	0.0077185845
230913_U52_GCaMP6f_F3	U52	2	nonanal4.56	0.004731423
230914_U52_GCaMP6f_F1	U52	1	nonanal4.56	0.016536394
230914_U52_GCaMP6f_F1	U52	2	nonanal4.56	0.00679254
230914_U52_GCaMP6f_F2	U52	1	nonanal4.56	0.009174312
230914_U52_GCaMP6f_F2	U52	2	nonanal4.56	0.0022727316
230915_U52_GCaMP6f_F2	U52	1	nonanal4.56	0.017336639
230915_U52_GCaMP6f_F2	U52	2	nonanal4.56	0.008164554
230913_FCV_GCaMP6f_F1	FCV	1	nonanal4.56	0.0015058755
230913_FCV_GCaMP6f_F1	FCV	2	nonanal4.56	0.00097145134
230914_FCV_GCaMP6f_F1	FCV	1	nonanal4.56	0.01065343
230914_FCV_GCaMP6f_F1	FCV	2	nonanal4.56	0.006593806
230914_FCV_GCaMP6f_F2	FCV	1	nonanal4.56	0.009124683
230914_FCV_GCaMP6f_F2	FCV	2	nonanal4.56	0.0039976956
230914_FCV_GCaMP6f_F3	FCV	1	nonanal4.56	0.0086856475
230914_FCV_GCaMP6f_F3	FCV	2	nonanal4.56	0.004142002
230915_FCV_GCaMP6f_F1	FCV	1	nonanal4.56	0.0067097503
230915_FCV_GCaMP6f_F1	FCV	2	nonanal4.56	0.003404069
230913_ORL_GCaMP6f_F1	ORL	1	nonanal4.045	0.0010915807
230913_ORL_GCaMP6f_F1	ORL	2	nonanal4.045	0.0017422596
230913_ORL_GCaMP6f_F2	ORL	1	nonanal4.045	0.0033063125
230913_ORL_GCaMP6f_F2	ORL	2	nonanal4.045	0.0040473547
230914_ORL_GCaMP6f_F1	ORL	1	nonanal4.045	0.009910529
230914_ORL_GCaMP6f_F1	ORL	2	nonanal4.045	0.0114930365
230914_ORL_GCaMP6f_F2	ORL	1	nonanal4.045	0.007289297
230914_ORL_GCaMP6f_F2	ORL	2	nonanal4.045	0.005986183
